Gene	D1_Control.	D2_Control.	D3_Control.	D4_Control.	D5.ntr	D6_Control.	D1_Treated.	D2_Treated.	D3_Treated.	D4_Treated.	D5_Treated.	D6_Treated.
Gyg	271.5263	303.6544	303.8095	177.0692	177.2552	177.4412	262.9516	259.8235	296.8964	196.9197	141.4391	149.6083
Gyk	203.4855	195.1955	206.0052	235.9094	284.02300000000002	332.1366	209.1847	149.5323	263.6765	282.1789	322.6937	374.7462
Gykl1	0.0418	0.847	0.8587	2.5955	4.4494999999999996	6.3035	0.0	0.0	0.969	4.6824	0.0558	3.1049
Gyltl1b	96.6764	112.6903	112.8556	129.4816	138.36644999999999	147.2513	94.2013	146.4136	105.4592	119.0776	139.9965	151.9134
Gypa	25.2126	82.5385	83.3167	90.3173	99.420000000000002	108.5227	30.0713	47.4917	112.3283	85.1977	167.9704	73.0302
Gypc	345.4577	312.3962	377.2064	331.3186	380.65245000000004	429.9863	324.1754	354.6473	328.1239	345.3599	308.6606	358.7602
Gys1	728.3415	606.2098	705.1264	612.4159	551.3528	490.2897	646.4949	698.6617	665.0492	632.0977	595.8602	604.3048
Gys2	0.0463	3.6162	1.7767	3.4864	3.8623500000000002	4.2383	0.0	2.138	1.9511	0.8817	0.0618	3.1627
Gzf1	930.6448	856.5194	887.8663	909.7221	869.85175000000004	829.9814	878.3254	884.1142	805.6673	892.2729	928.1251	893.5677
Gzma	0.0053	0.0	0.0	0.8933	0.44819999999999999	0.0031	0.0	0.0	0.0	0.9412	0.0071	0.0201
Gzmb	0.052	1.7459	1.7654	0.776	1.9914999999999998	3.207	0.9151	1.3129	2.9332	2.7554	4.6019	5.9152
Gzmc	2.2639	1.7626	0.0	0.0	0.54944999999999999	1.0989	5.7483	3.7842	0.9682	3.7223	0.059	0.175
Gzmd	4.5415	6.2783	0.0	3.3632	2.2462499999999999	1.1293	11.4457	14.6073	0.0	1.7772	0.1043	0.3226
Gzme	1.1802	4.5507	0.8525	0.0	0.55049999999999999	1.101	5.7433	1.3428	1.9511	2.7673	0.0618	1.7912
Gzmf	3.4377	3.5294	0.0	0.738	0.39015	0.0423	12.4191	11.457	0.0	4.5912	2.4579	3.5144
Gzmg	3.4528	6.2678	0.0	6.0237	4.1094499999999998	2.1952	12.3991	8.9675	1.9378	4.5785	0.1078	0.3347
Gzmk	0	0	0	0	0	0	0	0	0	0	0	0
Gzmm	39.6934	22.9994	26.8337	32.3669	28.568350000000002	24.7698	35.8269	39.4083	36.14	24.6859	46.0811	15.9877
Gzmn	0.0155	0.0	0.0	0.0	0.53244999999999998	1.0649	0.0	0.712	0.0	0.0	1.155	3.9645
H13	1340.8757	1242.6178	1420.0733	1378.2167	1241.7201	1105.2235	1493.7453	1345.1059	1430.687	1350.3233	1287.7898	1118.9619
H19	73236.4832	66259.6481	71798.5783	67994.8453	57534.206099999996	47073.5669	61053.4095	79911.3837	71297.8395	69102.9289	52414.9603	46027.844
H1f0	4972.6266	6360.6198	6148.8444	5239.3882	5084.8678500000005	4930.3475	4574.4536	5570.9853	6329.1964	5443.434	5079.8803	4841.9408
H1fnt	0.0226	0.0	0.0	0.0	2.0889500000000001	4.1779	0.9401	0.0	0.0	0.0	1.1778	4.0924
H1foo	3.3204	2.7086	0.0	0.0	1.5902499999999999	3.1805	0.0	1.388	1.9549	1.8349	0.0511	3.0579
H1fx	220.2366	215.8518	172.0743	131.9885	94.001999999999995	56.0155	176.2668	185.7655	110.3374	106.205	88.0229	95.4026
H2-Aa	0.0326	0.0	0.0	2.6336	3.9366000000000003	5.2396	0.0	0.6257	0.0	0.8981	3.4026	1.6638
H2-Ab1	0.0198	0.8863	0.8951	1.7665	1.41855	1.0706	0.0	0.0	0.0	1.8717	1.1689	0.0759
H2-Bl	2.1979	0.8816	0.8907	0.8416	0.95765000000000011	1.0737	0.9406	0.6757	0.0	0.0	0.0295	1.5597
H2-D1	78.5602	112.6662	94.8803	158.4937	184.54629999999997	210.5989	80.985	89.6408	106.4316	164.0245	193.244	200.4722
H2-DMa	42.0316	46.1971	34.0029	46.9111	42.276449999999997	37.6418	42.4156	42.1312	35.1488	36.6229	35.6637	32.4933
H2-DMb1	1.2131	0.8141	5.45	2.514	4.4435000000000002	6.373	3.7764	2.0189	0.962	3.6714	3.5541	4.7964
H2-DMb2	1.1926	0.8303	1.7634	5.2717	3.71645	2.1612	0.9143	0.0	4.904	2.7533	3.5013	3.2497
H2-Ea-ps	0.0054	0.0	0.0	0.0	0.52475000000000005	1.0495	0.0	0.0	0.0	0.9412	0.0071	0.0202
H2-Eb1	2.2906	2.6626	1.7609	4.3558	3.2594500000000002	2.1631	3.7936	0.5421	3.9171	0.0	2.3924	3.2665
